#Survey     ID              KGAS_ID    FWHM      
#==================================================
MANGA      1-118034        145        2.27776   
MANGA      1-118083        144        2.71725   
MANGA      1-118178        157        2.46308   
MANGA      1-118217        164        2.62989   
MANGA      1-118223        160        2.59019   
MANGA      1-118238        159        2.55755   
MANGA      1-118337        158        2.6706    
MANGA      1-118369        165        2.70074   
MANGA      1-118444        162        2.69815   
MANGA      1-118480        163        2.52921   
MANGA      1-138167        397        2.35429   
MANGA      1-138298        403        2.3589    
MANGA      1-138401        398        2.39268   
MANGA      1-139929        410        2.94787   
MANGA      1-144455        422        2.61086   
MANGA      1-144478        427        2.58911   
MANGA      1-144884        423        2.55209   
MANGA      1-144889        424        2.61027   
MANGA      1-178794        4          2.37414   
MANGA      1-178894        1          2.50088   
MANGA      1-179071        3          2.45505   
MANGA      1-179173        2          2.41613   
MANGA      1-180172        386        2.50884   
MANGA      1-180472        390        2.45698   
MANGA      1-180513        391        2.56596   
MANGA      1-180540        389        2.48449   
MANGA      1-180614        387        2.54493   
MANGA      1-180623        388        2.5123    
MANGA      1-180886        392        2.46111   
MANGA      1-182358        220        2.54918   
MANGA      1-182525        225        2.53659   
MANGA      1-182803        113        2.51115   
MANGA      1-202091        382        2.60127   
MANGA      1-212222        111        2.48043   
MANGA      1-212392        102        2.46346   
MANGA      1-212396        105        2.47887   
MANGA      1-212462        103        2.58976   
MANGA      1-212493        107        2.50141   
MANGA      1-212496        106        2.54914   
MANGA      1-212693        104        2.46435   
MANGA      1-212813        110        2.49442   
MANGA      1-213726        196        2.35425   
MANGA      1-213739        256        2.3466    
MANGA      1-213815        325        2.36144   
MANGA      1-213825        322        2.43105   
MANGA      1-214169        257        2.41407   
MANGA      1-214291        195        2.38766   
MANGA      1-229064        381        2.53912   
MANGA      1-229070        380        2.6377    
MANGA      1-289864        383        2.6443    
MANGA      1-289865        385        2.51694   
MANGA      1-297825        57         2.76242   
MANGA      1-297854        58         2.79948   
MANGA      1-297863        351        2.74449   
MANGA      1-297902        354        2.39506   
MANGA      1-297905        353        2.74156   
MANGA      1-297909        355        2.7486    
MANGA      1-297970        173        2.767     
MANGA      1-297986        62         2.75929   
MANGA      1-297987        357        2.58645   
MANGA      1-368248        86         2.68942   
MANGA      1-368846        360        2.59123   
MANGA      1-382349        172        2.37797   
MANGA      1-382352        359        2.78038   
MANGA      1-382473        56         2.4494    
MANGA      1-382566        167        2.57526   
MANGA      1-382678        358        2.7094    
MANGA      1-382729        55         2.55365   
MANGA      1-383040        450        2.63583   
MANGA      1-383050        451        2.45217   
MANGA      1-383589        446        2.57726   
MANGA      1-383608        449        2.61038   
MANGA      1-383612        448        2.53646   
MANGA      1-411980        170        2.46001   
MANGA      1-412000        61         2.55083   
MANGA      1-412058        352        2.49482   
MANGA      1-412119        168        2.37503   
MANGA      1-412207        452        2.39604   
MANGA      1-412272        356        2.53536   
MANGA      1-412631        445        2.51572   
MANGA      1-458609        176        2.40522   
MANGA      1-458614        175        2.46731   
MANGA      1-458678        59         2.43366   
MANGA      1-458697        174        2.42316   
MANGA      1-458712        171        2.38715   
MANGA      1-458727        60         2.46419   
MANGA      1-460434        447        2.534     
MANGA      1-547747        128        2.66139   
MANGA      1-550945        384        2.54495   
MANGA      1-556831        54         2.36099   
MANGA      1-556959        169        2.4763    
MANGA      1-559752        87         2.46739   
MANGA      1-601909        373        2.55407   
MANGA      1-601940        32         2.81099   
MANGA      1-602324        28         2.39194   
MANGA      1-602390        25         2.6118    
MANGA      1-603795        339        2.45709   
MANGA      1-603974        70         2.70298   
MANGA      1-603996        69         2.57438   
MANGA      1-604037        409        2.52471   
MANGA      1-604048        75         2.61319   
MANGA      1-605957        46         2.45262   
MANGA      1-606422        39         2.71136   
MANGA      1-613941        402        2.45047   
MANGA      1-627411        426        2.52787   
MANGA      1-627461        425        2.55073   
SAMI       15847           262        2.100327120447356
SAMI       16026           320        2.47367397524046
SAMI       16487           341        1.579593887611166
SAMI       49784           289        2.124871382939063
SAMI       62244           208        1.700548994810329
SAMI       63027           405        2.394632325009624
SAMI       63302           95         1.550951578383353
SAMI       63777           96         2.207110460492216
SAMI       65384           288        2.23190914032631
SAMI       77710           316        2.394632325009624
SAMI       77845           317        1.550951578383353
SAMI       78827           91         1.579593887611166
SAMI       79693           279        2.141199418773022
SAMI       79810           280        1.824357967018852
SAMI       79850           273        2.674498839759476
SAMI       91627           206        2.108117030816399
SAMI       91689           311        1.528399048431209
SAMI       92944           81         2.627460366483042
SAMI       93020           80         1.579593887611166
SAMI       93023           90         2.627460366483042
SAMI       93062           89         1.579593887611166
SAMI       93604           85         2.056223615582185
SAMI       93674           343        2.056223615582185
SAMI       107214          88         3.07172088561917
SAMI       197866          19         1.362430465035257
SAMI       202398          306        1.528818606036248
SAMI       202399          328        1.760424536551731
SAMI       202480          307        1.528818606036248
SAMI       202531          191        1.760385552786113
SAMI       202636          302        1.760385552786113
SAMI       202673          308        1.560654712387945
SAMI       202745          326        1.560654712387945
SAMI       203729          137        1.796311894582592
SAMI       204096          259        2.338051006101366
SAMI       204832          20         1.76943337989038
SAMI       205166          16         1.572136994426682
SAMI       205168          14         1.791922731611182
SAMI       208520          254        1.789645843382514
SAMI       209279          255        1.91061602267744
SAMI       209701          323        2.507495609616843
SAMI       210070          15         2.338051006101366
SAMI       214860          193        1.91061602267744
SAMI       218713          21         2.52453255015963
SAMI       220332          411        2.754288215362295
SAMI       220396          418        3.321989348321279
SAMI       220502          419        3.321989348321279
SAMI       227961          264        1.886040437793715
SAMI       229163          365        1.821846185660181
SAMI       229167          369        1.938168148500578
SAMI       230634          420        2.23972418810844
SAMI       230793          412        3.093282278421861
SAMI       238276          270        2.156582653167511
SAMI       238282          269        2.156582653167511
SAMI       238406          268        2.451781833591999
SAMI       239560          436        1.991320464882474
SAMI       240227          368        1.938168148500578
SAMI       240432          93         2.333408510217053
SAMI       252005          367        2.225982200382624
SAMI       252021          366        2.225982200382624
SAMI       278773          135        2.488605632772494
SAMI       278840          210        1.642291451535257
SAMI       278846          134        1.430600013571335
SAMI       287827          413        1.657791788992722
SAMI       289089          417        2.14395030224584
SAMI       289097          416        3.093282278421861
SAMI       289197          415        1.778461683025812
SAMI       296829          313        2.156582653167511
SAMI       298590          364        1.821846185660181
SAMI       298612          363        1.821846185660181
SAMI       298666          440        1.821846185660181
SAMI       298980          441        2.333408510217053
SAMI       300406          309        1.808760409650727
SAMI       300411          310        2.495822602423346
SAMI       301191          214        2.719538715861243
SAMI       301201          258        2.719538715861243
SAMI       301381          197        1.642291451535257
SAMI       302810          23         1.604932829001838
SAMI       319018          205        3.783678158782943
SAMI       319049          204        2.285145912523139
SAMI       319057          314        3.783678158782943
SAMI       319059          315        2.608546941455568
SAMI       319397          263        2.608546941455568
SAMI       319452          267        1.376972775064388
SAMI       321146          362        2.225982200382624
SAMI       323575          133        1.7759061998073
SAMI       323577          211        1.835032895886218
SAMI       323855          215        2.719538715861243
SAMI       324323          244        1.818088282539364
SAMI       346046          132        1.835032895886218
SAMI       346752          198        1.762672215296682
SAMI       346793          199        1.818088282539364
SAMI       371170          212        1.940672069043495
SAMI       371889          190        1.430600013571335
SAMI       371976          194        1.430600013571335
SAMI       372384          243        2.040005506647571
SAMI       376033          213        1.926184830394396
SAMI       376990          248        2.040005506647571
SAMI       381229          304        2.409410591823154
SAMI       386892          247        2.352518657135335
SAMI       387715          217        1.694961519211932
SAMI       396833          421        1.657791788992722
SAMI       417433          329        1.724683174736125
SAMI       418693          242        1.71507294649096
SAMI       422389          330        1.676716314667353
SAMI       460767          203        2.035988196066189
SAMI       463264          406        2.58754183869608
SAMI       463367          265        1.427876026077902
SAMI       463641          202        2.347415028418647
SAMI       485688          209        1.333948681749179
SAMI       485882          97         2.543724424169949
SAMI       485883          349        2.543724424169949
SAMI       485919          98         2.543724424169949
SAMI       485921          346        2.543724424169949
SAMI       485924          100        1.648495830476848
SAMI       486834          282        1.688568612061598
SAMI       487019          434        1.607011651236166
SAMI       487027          435        1.882672957264529
SAMI       487175          278        1.607011651236166
SAMI       492486          319        1.333948681749179
SAMI       492690          433        2.543724424169949
SAMI       492957          342        2.244997628566374
SAMI       493028          94         1.977261084867872
